weight,metal_content,organic_content,is_threat
11,11,74,0
18,57,20,1
12,94,31,1
19,21,78,0
25,46,40,1
5,36,93,0
9,3,24,0
19,31,68,0
23,71,95,1
9,91,22,1
9,43,54,0
23,27,93,0
13,16,36,0
21,18,71,0
25,71,49,1
14,32,57,0
5,44,37,0
18,6,85,0
22,72,64,1
19,51,75,1
7,93,39,1
20,51,85,1
13,68,33,1
23,2,51,0
6,37,11,0
16,49,84,1
7,74,2,1
16,48,99,1
19,10,52,0
25,81,44,1
11,22,90,0
11,90,3,1
8,26,19,0
15,48,43,0
8,4,6,0
22,93,26,1
13,36,99,0
10,39,96,0
15,35,24,0
5,48,33,0
6,66,79,1
25,41,100,1
16,13,77,0
7,6,90,0
5,37,72,0
22,28,30,0
13,3,37,0
11,84,75,1
5,24,66,0
16,92,88,1
17,73,46,1
18,60,61,1
8,14,7,0
21,59,33,1
25,87,71,1
12,14,33,0
8,39,31,0
20,45,77,1
7,36,70,0
9,58,41,0
21,16,8,0
15,1,86,0
17,45,57,1
12,55,72,0
12,63,94,1
7,24,57,0
20,73,98,1
19,24,59,0
22,42,10,1
9,53,31,0
22,12,12,0
10,49,100,0
7,3,46,0
11,48,53,0
21,87,73,1
5,50,75,0
9,34,40,0
12,56,0,0
11,26,38,0
23,27,16,0
9,42,73,0
25,16,86,0
11,51,83,0
5,22,44,0
9,75,76,1
18,82,89,1
7,98,18,1
15,38,40,0
21,69,41,1
13,7,62,0
25,70,63,1
20,51,16,1
7,30,9,0
22,72,28,1
15,61,52,1
25,16,46,0
6,26,64,0
12,72,84,1
25,51,31,1
10,36,11,0
12,0,78,0
13,59,48,0
16,97,81,1
6,56,67,0
16,100,39,1
22,100,82,1
16,93,12,1
21,18,66,0
11,64,7,1
5,72,19,1
9,67,38,1
7,11,65,0
14,98,7,1
21,38,80,0
8,98,46,1
8,1,0,0
17,30,66,0
22,68,94,1
24,29,7,0
25,38,70,0
22,91,32,1
11,24,93,0
23,92,96,1
14,49,78,0
13,48,79,0
14,50,35,0
22,63,84,1
20,8,47,0
21,100,51,1
10,17,81,0
18,96,14,1
16,72,47,1
14,1,97,0
23,54,38,1
16,21,75,0
5,65,4,1
20,91,9,1
10,99,25,1
9,88,66,1
16,20,1,0
10,93,62,1
7,0,84,0
21,74,20,1
5,37,54,0
18,8,40,0
15,95,31,1
16,96,20,1
24,94,37,1
22,72,59,1
19,8,87,0
15,1,49,0
20,14,77,0
16,90,96,1
24,89,91,1
20,90,29,1
18,62,23,1
24,20,11,0
20,51,95,1
6,67,83,1
6,97,9,1
11,49,87,0
24,89,18,1
17,90,63,1
19,77,72,1
21,27,85,0
23,24,98,0
9,59,16,0
10,97,26,1
22,32,74,0
10,63,67,1
13,97,36,1
21,25,31,0
19,99,26,1
5,23,4,0
20,93,31,1
13,63,41,1
10,54,64,0
11,56,39,0
22,86,53,1
20,22,63,0
16,10,46,0
25,57,91,1
14,50,52,0
20,28,23,0
20,34,99,0
11,3,9,0
23,82,44,1
16,16,30,0
14,49,85,0
9,70,99,1
17,97,2,1
18,10,4,0
24,62,76,1
24,34,3,0
25,86,93,1
7,97,82,1
5,100,96,1
19,49,13,1
18,99,28,1
11,13,75,0
10,47,5,0
21,52,14,1
6,27,58,0
23,37,48,0
5,43,69,0
22,55,93,1
25,38,44,0
21,91,17,1
8,75,35,1
24,33,57,0
14,47,24,0
23,78,73,1
9,94,75,1
12,94,62,1
5,30,88,0
21,27,91,0
15,39,84,0
5,31,50,0
11,80,65,1
16,93,41,1
24,27,3,0
10,24,65,0
5,57,1,0
6,97,46,1
24,49,77,1
5,13,53,0
10,67,70,1
16,100,34,1
23,45,15,1
21,87,67,1
23,97,76,1
6,58,7,0
16,95,100,1
11,8,47,0
10,90,82,1
8,58,73,0
6,57,99,0
23,100,81,1
20,63,73,1
10,22,51,0
12,81,5,1
14,13,8,0
20,80,53,1
22,63,33,1
23,20,19,0
5,77,90,1
7,30,89,0
12,18,99,0
6,71,81,1
17,16,84,0
7,27,11,0
8,18,85,0
23,76,3,1
10,97,56,1
9,68,17,1
23,24,13,0
23,96,21,1
12,14,31,0
12,41,67,0
9,41,56,0
14,3,35,0
6,71,92,1
11,16,82,0
18,10,44,0
20,65,17,1
12,91,92,1
9,67,35,1
24,2,97,0
23,58,87,1
18,91,11,1
13,93,21,1
17,66,28,1
10,71,31,1
8,19,41,0
6,85,28,1
18,0,55,0
21,82,96,1
12,47,67,0
22,68,4,1
12,29,66,0
8,77,72,1
23,28,91,0
22,6,18,0
18,10,68,0
16,93,28,1
21,75,5,1
16,12,54,0
8,83,97,1
11,80,95,1
7,41,8,0
8,26,91,0
25,77,86,1
9,62,3,1
11,77,18,1
23,46,94,1
21,51,73,1
11,44,91,0
13,33,22,0
14,99,66,1
6,83,63,1
10,17,91,0
17,81,67,1
23,47,72,1
20,71,13,1
23,74,48,1
5,28,9,0
25,92,37,1
7,43,35,0
16,59,37,1
25,70,58,1
24,14,60,0
5,21,23,0
5,76,12,1
5,2,89,0
25,28,58,0
12,72,44,1
20,77,26,1
21,81,34,1
15,63,4,1
19,53,54,1
22,27,22,0
10,1,39,0
10,15,92,0
20,30,80,0
21,35,19,0
13,38,86,0
8,36,65,0
17,34,47,0
14,17,42,0
5,67,59,1
14,32,6,0
24,26,27,0
25,93,69,1
22,7,50,0
21,24,1,0
6,82,18,1
16,90,1,1
20,98,20,1
18,97,13,1
10,94,66,1
25,72,78,1
9,91,67,1
16,68,72,1
8,58,62,0
11,80,70,1
18,17,28,0
15,94,84,1
20,9,10,0
7,27,11,0
13,27,56,0
5,57,44,0
7,97,85,1
23,18,40,0
6,13,71,0
5,93,95,1
6,5,6,0
8,78,7,1
16,43,40,1
17,78,79,1
7,8,57,0
13,46,77,0
12,81,86,1
6,19,7,0
20,14,55,0
25,55,48,1
6,32,49,0
7,63,81,1
15,17,80,0
25,18,21,0
16,16,83,0
19,95,24,1
17,17,34,0
14,45,82,0
20,54,70,1
17,24,87,0
11,61,74,1
13,86,50,1
13,77,1,1
12,27,79,0
6,71,58,1
13,89,14,1
7,95,7,1
7,59,7,0
7,87,95,1
23,92,81,1
17,32,10,0
23,62,37,1
24,23,85,0
19,56,89,1
22,24,37,0
5,11,99,0
18,85,81,1
22,4,54,0
17,80,23,1
18,64,73,1
24,58,9,1
14,60,38,0
19,74,61,1
24,60,94,1
7,39,77,0
8,28,76,0
11,55,44,0
19,79,16,1
10,26,65,0
7,72,37,1
7,64,89,1
7,11,61,0
19,50,48,1
16,51,20,1
21,3,41,0
14,57,57,0
7,95,4,1
12,81,37,1
20,37,88,0
24,52,12,1
12,64,55,1
15,42,92,0
15,96,38,1
14,64,38,1
12,99,58,1
20,91,17,1
15,68,33,1
12,13,78,0
21,38,85,0
22,3,1,0
7,7,7,0
15,31,17,0
17,71,43,1
18,47,53,1
14,48,52,0
10,55,25,0
11,87,92,1
10,75,85,1
5,49,75,0
8,77,82,1
18,80,70,1
24,29,29,0
5,23,21,0
21,58,8,1
17,97,64,1
12,69,95,1
23,17,98,0
22,8,53,0
19,31,90,0
20,92,52,1
10,45,40,0
13,23,64,0
22,9,97,0
12,26,46,0
17,50,16,1
11,95,2,1
9,9,42,0
18,39,86,0
22,62,95,1
9,69,67,1
21,56,76,1
23,62,15,1
11,54,7,0
17,43,68,1
25,66,83,1
20,39,49,0
12,51,54,0
10,22,95,0
8,9,35,0
19,12,9,0
16,73,80,1
18,89,38,1
9,71,0,1
24,1,55,0
24,12,59,0
18,89,68,1
5,29,66,0
16,8,19,0
6,84,94,1
10,82,90,1
6,24,10,0
5,11,12,0
20,43,95,1
23,76,14,1
14,41,72,0
7,5,18,0
9,18,73,0
10,81,51,1
7,34,47,0
5,17,77,0
12,56,33,0
11,23,23,0
10,89,41,1
19,83,32,1
11,75,54,1
19,100,94,1
10,67,19,1
9,42,42,0
12,92,53,1
19,69,95,1
6,75,58,1
9,43,18,0
14,9,40,0
13,76,38,1
5,76,97,1
6,49,40,0
24,67,75,1
13,51,56,0
10,1,78,0
25,26,82,0
6,81,35,1
16,13,65,0
18,68,69,1
13,23,43,0
16,39,43,0
20,85,82,1
16,58,73,1
23,76,76,1
13,0,26,0
8,77,87,1
16,23,99,0
15,30,44,0
25,25,13,0
14,25,70,0
7,29,36,0
20,95,64,1
16,65,95,1
5,1,29,0
14,44,59,0
11,10,85,0
18,45,59,1
18,48,10,1
23,8,49,0
16,90,0,1
25,24,9,0
13,72,36,1
7,48,21,0
7,63,69,1
11,2,95,0
15,92,29,1
15,33,22,0
25,1,14,0
8,57,46,0
22,26,16,0
20,54,48,1
6,78,10,1
9,91,36,1
10,22,68,0
19,94,6,1
6,27,0,0
25,7,96,0
6,27,74,0
20,4,98,0
20,55,58,1
23,4,47,0
20,28,97,0
14,20,73,0
17,84,62,1
22,71,33,1
7,39,10,0
9,36,61,0
21,33,3,0
22,82,43,1
25,30,69,0
9,36,63,0
5,37,19,0
21,34,22,0
11,62,8,1
9,32,80,0
25,86,42,1
16,42,85,1
18,10,10,0
11,50,31,0
10,40,38,0
16,16,64,0
23,83,70,1
11,33,89,0
19,99,90,1
24,92,43,1
8,85,1,1
16,15,14,0
18,98,28,1
18,5,19,0
14,98,95,1
24,54,38,1
10,59,94,0
8,30,79,0
24,4,11,0
24,54,75,1
20,13,17,0
20,32,10,0
5,78,63,1
15,87,95,1
10,47,36,0
14,20,11,0
25,75,45,1
17,93,47,1
22,6,90,0
19,22,29,0
19,51,34,1
11,27,76,0
20,93,36,1
18,64,26,1
21,92,77,1
12,57,22,0
9,29,77,0
24,91,47,1
5,29,45,0
21,34,9,0
15,13,76,0
14,35,26,0
19,6,17,0
15,80,13,1
7,57,6,0
5,42,70,0
8,70,66,1
18,95,63,1
14,78,77,1
12,13,73,0
23,32,80,0
10,99,70,1
17,9,98,0
23,27,19,0
22,98,85,1
7,39,13,0
17,36,91,0
8,48,8,0
7,97,70,1
25,65,99,1
11,6,33,0
9,57,93,0
9,77,14,1
25,86,32,1
8,15,77,0
7,100,29,1
5,71,98,1
16,37,26,0
9,43,90,0
19,89,19,1
9,33,46,0
6,61,0,1
18,97,11,1
17,6,36,0
5,15,45,0
14,39,30,0
17,92,85,1
22,24,24,0
9,89,8,1
10,32,36,0
21,25,27,0
21,63,77,1
16,90,58,1
25,9,23,0
15,100,8,1
17,77,62,1
10,1,41,0
10,39,17,0
25,54,9,1
20,78,45,1
14,88,6,1
21,16,56,0
18,79,48,1
23,57,23,1
21,79,30,1
10,60,10,0
19,98,92,1
21,4,54,0
8,80,54,1
12,39,34,0
17,21,19,0
9,82,29,1
7,42,33,0
24,68,53,1
11,94,50,1
9,75,41,1
23,17,92,0
19,99,3,1
21,96,66,1
23,17,19,0
16,29,38,0
9,62,87,1
22,56,4,1
13,3,33,0
12,58,23,0
18,81,14,1
5,40,51,0
12,41,71,0
25,91,92,1
22,47,20,1
7,46,40,0
14,59,62,0
10,60,33,0
7,99,78,1
15,47,4,0
24,87,4,1
20,8,34,0
20,34,78,0
15,19,95,0
17,43,95,1
8,5,79,0
17,4,86,0
7,13,87,0
12,83,58,1
21,0,71,0
15,54,19,0
6,31,78,0
22,30,37,0
6,75,80,1
5,96,52,1
10,74,4,1
19,12,54,0
17,24,35,0
10,50,87,0
7,40,70,0
25,27,40,0
21,81,43,1
10,82,28,1
21,36,1,0
13,99,99,1
22,71,48,1
21,62,74,1
21,49,11,1
16,92,44,1
5,86,64,1
24,96,91,1
10,13,5,0
7,97,37,1
14,32,100,0
15,50,33,0
13,60,69,0
6,15,64,0
6,88,74,1
8,68,54,1
24,62,62,1
13,41,64,0
14,37,53,0
9,25,39,0
18,5,86,0
17,75,61,1
17,52,98,1
10,82,90,1
15,55,83,0
10,95,1,1
22,74,78,1
10,0,40,0
12,24,58,0
6,48,2,0
5,39,52,0
19,13,82,0
20,87,97,1
15,29,85,0
5,0,94,0
23,75,91,1
18,86,36,1
15,30,51,0
23,31,36,0
24,30,80,0
22,33,76,0
15,86,42,1
25,63,54,1
23,11,35,0
20,45,99,1
21,12,48,0
24,88,57,1
20,86,0,1
17,49,17,1
24,63,3,1
19,64,78,1
5,83,36,1
8,12,71,0
20,53,68,1
11,24,76,0
24,56,93,1
22,66,9,1
12,9,0,0
10,64,62,1
9,35,4,0
22,51,76,1
23,86,33,1
23,49,15,1
13,47,46,0
8,31,41,0
18,95,73,1
16,99,25,1
8,82,1,1
25,57,20,1
10,68,75,1
9,11,91,0
14,0,12,0
21,9,79,0
12,27,34,0
25,94,63,1
15,3,28,0
7,11,82,0
22,84,11,1
9,66,55,1
13,30,45,0
7,43,57,0
17,18,92,0
5,81,28,1
5,83,11,1
9,2,65,0
7,63,30,1
13,99,48,1
7,28,90,0
6,66,1,1
10,15,75,0
24,76,96,1
7,48,70,0
17,16,28,0
12,40,96,0
16,17,55,0
8,29,52,0
18,21,83,0
23,62,79,1
17,44,58,1
15,24,100,0
13,49,17,0
6,94,72,1
10,33,71,0
6,31,18,0
21,68,99,1
25,32,45,0
17,75,49,1
10,81,90,1
25,22,61,0
22,43,65,1
22,13,27,0
15,76,9,1
6,72,75,1
8,80,44,1
10,61,45,1
17,47,85,1
8,80,45,1
25,81,5,1
20,9,98,0
21,4,73,0
14,53,37,0
11,93,4,1
12,32,36,0
20,92,3,1
8,33,100,0
23,64,65,1
22,82,98,1
5,86,42,1
20,82,91,1
9,81,97,1
7,52,88,0
12,100,16,1
23,63,11,1
10,69,28,1
10,8,91,0
19,22,94,0
22,72,53,1
6,16,2,0
13,72,34,1
21,89,60,1
12,4,71,0
23,80,53,1
17,70,6,1
19,64,88,1
8,15,5,0
22,22,98,0
12,69,13,1
22,0,13,0
22,85,76,1
25,97,51,1
7,40,72,0
20,3,28,0
14,70,14,1
17,5,9,0
11,15,66,0
20,90,97,1
24,77,13,1
20,58,71,1
23,28,84,0
12,43,52,0
18,43,51,1
16,94,10,1
25,84,39,1
5,38,67,0
25,20,82,0
11,48,40,0
19,40,24,0
16,84,75,1
12,95,98,1
19,2,44,0
23,44,11,1
10,99,73,1
10,18,56,0
16,90,60,1
10,24,68,0
22,58,98,1
25,17,39,0
6,43,4,0
16,99,38,1
6,87,43,1
19,35,33,0
23,79,80,1
6,53,69,0
13,78,61,1
22,100,98,1
5,25,5,0
18,21,45,0
23,28,75,0
19,8,48,0
5,53,86,0
7,15,53,0
15,54,87,0
11,73,42,1
22,53,94,1
16,61,26,1
15,12,44,0
10,58,17,0
24,67,27,1
18,70,100,1
23,54,68,1
22,0,32,0
5,16,32,0
17,0,56,0
15,48,41,0
20,29,74,0
13,84,42,1
24,44,81,1
18,23,33,0
7,90,84,1
14,4,41,0
18,33,73,0
6,78,52,1
19,54,7,1
13,81,85,1
6,7,14,0
23,84,92,1
9,40,25,0
11,49,35,0
5,53,95,0
21,69,48,1
13,34,87,0
19,83,90,1
17,77,15,1
13,64,32,1
11,66,84,1
9,82,40,1
10,39,46,0
24,64,2,1
9,81,70,1
14,90,47,1
20,65,29,1
24,34,7,0
23,56,49,1
12,6,48,0
18,8,37,0
21,90,74,1
10,99,31,1
20,27,35,0
18,37,67,0
25,94,55,1
9,93,8,1
9,83,99,1
13,62,89,1
25,35,60,0
14,44,90,0
15,67,12,1
8,40,3,0
9,50,61,0
5,58,31,0
24,78,25,1
7,47,69,0
24,0,2,0
21,45,60,1
20,0,15,0
13,33,27,0
5,35,8,0
23,53,96,1
7,71,71,1
6,96,63,1
7,22,88,0
12,54,12,0
5,11,29,0
25,21,99,0
15,54,28,0
5,89,59,1
10,26,82,0
14,39,90,0
9,59,94,0
20,15,98,0
24,45,57,1
17,64,57,1
13,59,43,0
13,26,17,0
7,34,84,0
20,62,7,1
14,95,66,1
23,6,42,0
18,4,35,0
7,96,64,1
13,5,39,0
15,4,47,0
14,63,73,1
18,31,38,0
23,38,19,0
12,47,88,0
16,26,39,0
10,16,36,0
16,17,59,0
6,19,55,0
18,3,57,0
5,89,59,1
16,61,8,1
8,86,15,1
13,26,43,0
23,30,46,0
7,85,82,1
15,67,25,1
18,72,68,1
7,44,11,0
16,48,22,1
23,41,48,1
15,31,35,0
13,97,76,1
23,65,43,1
8,10,32,0
10,100,73,1
25,25,55,0
5,89,55,1
5,73,34,1
22,58,37,1
11,28,94,0
14,54,58,0
7,8,30,0
9,93,52,1
22,43,48,1
15,30,91,0
13,1,7,0
25,64,66,1
10,44,95,0
20,44,89,1
20,97,99,1
21,23,31,0
7,97,98,1
5,56,57,0
25,89,62,1
17,10,12,0
9,58,56,0
9,6,97,0
15,21,29,0
20,57,27,1
8,71,9,1
8,71,92,1
5,22,2,0
8,23,5,0
20,49,47,1
24,0,74,0
5,26,52,0
22,32,70,0
10,57,66,0
9,59,17,0
17,8,72,0
23,46,86,1
7,37,42,0
20,15,59,0
23,77,43,1
8,98,67,1
23,68,23,1
18,98,21,1
20,35,20,0
7,58,65,0
10,85,47,1
15,74,79,1
6,27,28,0
14,78,88,1
16,33,11,0
24,57,31,1
8,87,8,1
24,52,10,1
18,5,47,0
19,45,52,1
19,79,7,1
22,86,96,1
22,94,99,1
21,22,15,0
8,47,84,0
10,89,25,1
19,52,85,1
20,2,41,0
13,53,78,0
9,80,82,1
17,62,90,1
21,8,8,0
24,93,7,1
14,84,38,1
13,69,8,1
24,60,65,1
12,52,99,0
13,79,56,1
19,17,47,0
18,41,80,1
15,60,57,0
21,76,56,1
15,94,12,1
18,76,29,1
5,96,77,1
17,66,31,1
10,14,80,0
20,82,15,1
16,48,82,1
9,24,41,0
9,10,31,0
12,83,17,1
18,82,75,1
22,97,29,1
18,69,99,1
13,38,12,0
7,76,72,1
12,75,81,1
6,49,80,0
25,51,100,1
18,100,30,1
12,81,47,1
13,82,71,1
14,20,29,0
23,58,36,1
15,66,83,1
9,82,78,1
14,0,90,0
21,21,49,0
21,43,50,1
8,89,1,1
23,14,47,0
10,68,85,1
16,57,40,1
9,10,38,0
22,78,4,1
16,30,96,0
8,6,86,0
23,2,24,0
17,58,34,1
19,84,9,1
18,87,77,1
20,91,76,1
16,12,46,0
13,83,19,1
13,97,53,1
5,9,71,0
9,81,24,1
24,78,90,1
17,2,83,0
7,3,10,0
16,92,87,1
24,30,41,0
10,68,26,1
17,17,30,0
9,31,33,0
12,95,70,1
6,48,63,0
19,32,73,0
6,10,19,0
23,20,37,0
11,71,38,1
21,90,60,1
17,7,50,0
15,94,100,1
18,98,32,1
6,91,53,1
23,51,73,1
5,32,69,0
24,45,74,1
5,70,50,1
24,91,57,1
23,9,83,0
5,48,69,0
19,62,62,1
7,67,3,1
23,70,56,1
22,7,45,0
22,12,61,0
24,7,36,0
16,48,100,1
6,21,54,0
17,75,57,1
16,49,71,1
10,21,98,0
7,88,60,1
7,38,1,0
6,47,0,0
15,2,41,0
24,12,55,0
19,85,6,1
15,42,50,0
21,67,65,1
7,98,14,1
21,17,3,0
20,47,90,1
8,96,4,1
25,50,84,1
13,25,92,0
8,60,84,0
11,97,27,1
5,50,86,0
24,11,8,0
24,19,5,0
21,0,37,0
12,47,50,0
11,15,21,0
10,19,53,0
18,61,2,1
16,7,28,0
18,68,18,1
25,100,12,1
8,21,41,0
5,49,74,0
16,57,2,1
20,25,80,0
12,47,67,0
17,50,54,1
18,3,12,0
25,58,65,1
10,83,32,1
13,79,91,1
9,25,21,0
25,19,19,0
9,49,8,0
19,91,42,1
25,37,68,0
14,51,34,0
11,66,53,1
24,30,39,0
18,87,42,1
10,11,61,0
6,30,96,0
21,55,99,1
13,94,3,1
23,82,87,1
19,88,29,1
9,44,86,0
23,2,58,0
14,20,95,0
15,11,62,0
6,17,46,0
18,34,95,0
24,38,1,0
10,34,72,0
21,36,97,0
23,51,10,1
18,76,8,1
16,79,71,1
24,84,42,1
23,49,12,1
11,63,21,1
14,52,87,0
8,27,83,0
12,45,17,0
25,76,59,1
23,39,11,0
20,5,25,0
19,6,22,0
16,18,87,0
22,72,80,1
22,75,98,1
15,7,51,0
14,57,65,0
21,36,70,0
11,83,81,1
22,40,22,0
10,48,0,0
10,13,76,0
24,23,94,0
14,54,5,0
13,74,72,1
22,13,17,0
12,52,5,0
20,48,37,1
7,6,73,0
13,88,67,1
16,58,64,1
24,93,27,1
5,99,19,1
20,33,66,0
10,82,2,1
11,14,29,0
5,91,14,1
24,17,71,0
11,73,9,1
6,12,12,0
11,30,8,0
7,23,63,0
8,99,25,1
8,64,2,1
12,30,83,0
12,39,46,0
23,66,100,1
11,49,13,0
15,26,77,0
8,25,2,0
5,51,23,0
6,70,76,1
18,14,83,0
20,63,74,1
15,96,23,1
23,48,31,1
12,7,13,0
16,93,54,1
20,67,22,1
17,66,72,1
6,8,68,0
12,16,70,0
25,68,9,1
14,3,49,0
21,9,82,0
25,2,82,0
20,51,44,1
14,55,75,0
11,53,67,0
6,43,80,0
23,15,100,0
6,75,33,1
24,13,85,0
13,84,91,1
16,61,2,1
22,88,8,1
6,11,46,0
17,90,94,1
8,56,68,0
11,17,59,0
19,86,100,1
18,82,52,1
15,43,96,0
7,17,93,0
17,41,48,1
9,37,79,0
23,31,66,0
23,56,45,1
25,33,82,0
14,26,64,0
8,88,29,1
12,78,23,1
25,19,1,0
21,86,95,1
18,95,85,1
18,22,42,0
7,1,33,0
13,44,45,0
17,72,45,1
17,66,56,1
18,100,13,1
8,83,36,1
24,96,73,1
6,48,70,0
23,77,76,1
8,94,70,1
12,80,68,1
15,94,63,1
6,64,13,1
5,92,10,1
21,6,38,0
17,32,85,0
25,27,56,0
10,6,77,0
22,53,88,1
25,44,57,1
12,73,46,1
15,5,72,0
24,94,71,1
8,55,1,0
13,4,96,0
19,69,29,1
20,72,74,1
21,89,2,1
22,96,85,1
5,54,37,0
6,76,57,1
18,11,21,0
19,100,14,1
15,64,47,1
11,33,56,0
18,61,41,1
17,79,65,1
24,81,42,1
11,11,95,0
9,4,54,0
24,2,10,0
8,21,88,0
13,33,98,0
22,30,94,0
16,1,78,0
8,77,1,1
8,97,2,1
6,94,56,1
16,74,40,1
8,57,52,0
14,25,76,0
13,15,68,0
14,11,16,0
15,62,97,1
21,53,51,1
25,62,12,1
20,34,97,0
17,26,32,0
24,70,17,1
21,1,75,0
21,68,17,1
7,22,7,0
13,38,41,0
11,59,94,0
6,21,28,0
7,48,79,0
23,53,87,1
12,39,77,0
22,0,37,0
20,26,83,0
8,2,25,0
8,85,54,1
18,78,12,1
6,78,8,1
14,12,16,0
10,100,40,1
15,42,16,0
8,22,10,0
17,58,81,1
10,78,30,1
6,36,0,0
20,1,64,0
13,12,52,0
12,17,87,0
15,86,25,1
25,21,44,0
13,40,43,0
24,21,57,0
11,2,11,0
6,100,58,1
9,18,8,0
22,59,12,1
9,34,87,0
20,5,9,0
9,61,89,1
18,13,88,0
25,3,20,0
21,74,20,1
13,33,38,0
12,28,77,0
14,72,12,1
20,31,62,0
16,51,12,1
8,77,31,1
15,18,80,0
17,74,93,1
5,81,56,1
5,14,62,0
17,38,93,0
8,70,54,1
19,80,99,1
18,87,43,1
15,22,36,0
22,27,4,0
13,92,24,1
10,39,52,0
23,24,91,0
22,51,81,1
10,33,89,0
12,24,8,0
9,1,88,0
21,75,27,1
19,85,2,1
17,30,65,0
18,32,30,0
25,63,100,1
11,57,55,0
12,66,62,1
15,41,23,0
9,93,39,1
9,75,59,1
18,32,20,0
20,99,73,1
10,63,54,1
25,16,73,0
8,82,70,1
7,44,58,0
19,55,26,1
11,80,16,1
25,51,51,1
14,53,8,0
10,23,43,0
10,47,32,0
17,58,92,1
13,70,88,1
18,57,98,1
25,51,81,1
6,74,33,1
18,11,7,0
